File Info,,,,,,,VMAF,,,,,,,,,PSNR,,,,SSIM,,,
Index,Source,Output,Encode FPS,Bitrate,Bitrate (kbps),,Mean,1% Low,0.1% Low,Min,Harmonic Mean,Mean Diff,Bitrate/Quality,Bitrate/Quality (H),,Median,1% Low,0.1% Low,Min,Median,1% Low,0.1% Low,Min
60306,grain,h264_nvenc to h264_qsv_v6_q,92.38,18702622,18702.622,,94.96,89.51,87.12,84.25,94.89,0.07%,196.96,197.10,,40.59,37.76,36.74,36.07,0.952,0.922,0.919,0.917
60307,grain,h264_nvenc to h265_qsv_v6_q,76.85,7616965,7616.965,,92.01,85.62,83.31,82.55,91.91,0.11%,82.79,82.88,,39.50,36.59,35.72,35.12,0.941,0.905,0.900,0.896
60400,grain,h265_nvenc,182.36,9608815,9608.815,,95.13,89.71,87.18,83.24,95.06,0.07%,101.00,101.08,,41.13,37.56,36.40,35.64,0.958,0.930,0.928,0.926
60401,grain,h265_nvenc to h264,78.00,7786580,7786.58,,91.93,85.67,84.36,82.67,91.83,0.11%,84.70,84.79,,39.58,36.20,35.47,34.72,0.943,0.912,0.910,0.910
60402,grain,h265_nvenc to h265,10.70,7972294,7972.294,,92.87,86.82,84.64,82.56,92.78,0.10%,85.84,85.93,,39.99,36.77,35.83,35.25,0.946,0.917,0.914,0.913
60403,grain,h265_nvenc to h264_nvenc,246.64,11609119,11609.119,,93.96,88.15,85.78,83.14,93.88,0.09%,123.55,123.66,,39.97,36.72,35.49,35.00,0.945,0.906,0.902,0.901
60404,grain,h265_nvenc to h265_nvenc,182.80,9596681,9596.681,,93.73,87.89,84.87,78.77,93.64,0.09%,102.38,102.48,,40.23,36.59,35.43,34.78,0.949,0.915,0.912,0.909
60406,grain,h265_nvenc to h264_qsv_v6_q,93.28,17319818,17319.818,,94.20,88.85,86.73,82.94,94.13,0.08%,183.85,184.00,,40.26,37.15,36.03,35.37,0.949,0.919,0.914,0.913
60407,grain,h265_nvenc to h265_qsv_v6_q,75.88,7261026,7261.026,,91.59,85.55,83.30,81.14,91.49,0.10%,79.28,79.36,,39.41,36.23,35.30,34.69,0.939,0.904,0.900,0.896
60600,grain,h264_qsv_v6_q,85.87,28360377,28360.377,,97.66,93.02,92.32,91.91,97.62,0.04%,290.41,290.51,,44.04,41.80,41.43,41.36,0.979,0.968,0.967,0.966
60601,grain,h264_qsv_v6_q to h264,64.92,11018848,11018.848,,93.08,86.56,84.49,83.22,92.99,0.10%,118.38,118.50,,40.61,37.09,36.61,36.52,0.956,0.939,0.935,0.933
60602,grain,h264_qsv_v6_q to h265,9.80,10575336,10575.336,,94.35,88.13,85.72,84.62,94.26,0.09%,112.09,112.19,,41.16,38.29,37.79,37.55,0.959,0.943,0.940,0.939
60603,grain,h264_qsv_v6_q to h264_nvenc,241.66,13022144,13022.144,,95.08,89.42,86.97,84.40,95.01,0.07%,136.96,137.06,,40.91,37.96,36.94,36.18,0.957,0.926,0.922,0.920
60604,grain,h264_qsv_v6_q to h265_nvenc,180.75,9603052,9603.052,,94.67,89.06,86.99,84.99,94.59,0.08%,101.44,101.52,,40.67,37.27,36.45,35.73,0.954,0.925,0.920,0.918
60606,grain,h264_qsv_v6_q to h264_qsv_v6_q,87.61,25160765,25160.765,,96.15,90.32,89.32,88.84,96.08,0.07%,261.69,261.88,,42.47,39.74,39.33,39.25,0.970,0.955,0.953,0.952
60607,grain,h264_qsv_v6_q to h265_qsv_v6_q,77.21,9939203,9939.203,,92.45,85.64,83.55,82.31,92.34,0.12%,107.51,107.64,,40.15,37.13,36.64,36.47,0.952,0.925,0.921,0.918
60700,grain,h265_qsv_v6_q,77.16,11417943,11417.943,,93.63,87.33,85.27,84.02,93.54,0.10%,121.95,122.07,,40.81,38.02,37.56,37.24,0.959,0.936,0.931,0.929
60701,grain,h265_qsv_v6_q to h264,69.73,8504643,8504.643,,90.61,83.88,81.88,81.01,90.50,0.12%,93.86,93.97,,39.57,36.30,35.77,35.58,0.945,0.917,0.913,0.910
60702,grain,h265_qsv_v6_q to h265,11.17,8416932,8416.932,,91.43,84.66,82.29,81.02,91.32,0.12%,92.06,92.17,,39.89,36.83,36.31,36.03,0.948,0.921,0.915,0.914
60703,grain,h265_qsv_v6_q to h264_nvenc,206.38,11916110,11916.11,,92.47,86.10,83.89,82.74,92.37,0.10%,128.86,129.00,,39.87,36.83,36.14,35.52,0.947,0.912,0.906,0.906
60704,grain,h265_qsv_v6_q to h265_nvenc,181.10,9602951,9602.951,,92.23,85.84,83.70,82.58,92.13,0.11%,104.12,104.23,,39.90,36.46,35.69,35.20,0.947,0.914,0.908,0.906
60706,grain,h265_qsv_v6_q to h264_qsv_v6_q,86.70,17829487,17829.487,,92.53,85.98,84.19,83.29,92.42,0.12%,192.69,192.92,,40.13,37.29,36.81,36.50,0.952,0.925,0.920,0.918
60707,grain,h265_qsv_v6_q to h265_qsv_v6_q,75.86,8972363,8972.363,,90.84,83.82,82.17,81.34,90.71,0.14%,98.78,98.91,,39.63,36.47,35.86,35.46,0.947,0.915,0.910,0.908
,,,,,,,,,,,,,,,,,,,,,,,
70100,degrain,h264,55.43,13307654,13307.654,,94.26,88.13,85.76,85.11,94.18,0.09%,141.18,141.31,,41.55,37.80,37.49,37.39,0.965,0.952,0.951,0.950
70110,degrain,h264 to h264_degrain,16.46,10138743,10138.743,,91.88,85.53,83.68,82.43,91.78,0.11%,110.35,110.47,,40.10,36.85,36.46,36.32,0.951,0.933,0.931,0.930
70111,degrain,h264 to h265_degrain,7.40,9633426,9633.426,,92.21,85.75,83.46,82.86,92.11,0.11%,104.48,104.59,,40.24,36.88,36.53,36.45,0.952,0.933,0.932,0.931
70112,degrain,h264 to h264_nvenc_degrain,22.77,12284492,12284.492,,92.96,86.88,85.15,84.58,92.88,0.09%,132.15,132.27,,40.13,36.89,36.40,36.03,0.950,0.923,0.919,0.916
70113,degrain,h264 to h265_nvenc_degrain,22.97,9599006,9599.006,,92.87,86.46,84.78,82.55,92.78,0.10%,103.36,103.46,,40.09,36.33,35.83,35.24,0.949,0.922,0.918,0.917
70115,degrain,h264 to h264_qsv_v6_q_degrain,15.13,20540209,20540.209,,93.52,87.64,85.86,85.01,93.43,0.09%,219.64,219.85,,40.69,37.41,36.99,36.87,0.957,0.940,0.937,0.936
70116,degrain,h264 to h265_qsv_v6_q_degrain,15.52,8621244,8621.244,,90.98,84.71,82.63,81.94,90.88,0.11%,94.76,94.86,,39.70,36.47,35.97,35.82,0.946,0.921,0.918,0.916
70200,degrain,h265,8.79,12861462,12861.462,,95.52,89.83,87.56,87.08,95.45,0.08%,134.64,134.75,,42.23,39.46,39.11,38.76,0.968,0.958,0.957,0.956
70210,degrain,h265 to h264_degrain,15.91,10268785,10268.785,,92.12,85.99,83.66,82.17,92.03,0.10%,111.47,111.58,,40.15,37.07,36.72,36.63,0.951,0.935,0.932,0.932
70211,degrain,h265 to h265_degrain,6.75,10699630,10699.63,,93.15,87.12,84.72,83.66,93.06,0.10%,114.86,114.97,,40.71,37.98,37.76,37.41,0.957,0.942,0.939,0.938
70212,degrain,h265 to h264_nvenc_degrain,23.98,12611581,12611.581,,93.92,88.21,85.72,84.95,93.84,0.08%,134.28,134.40,,40.43,37.59,36.76,36.16,0.952,0.925,0.920,0.918
70213,degrain,h265 to h265_nvenc_degrain,21.73,9603188,9603.188,,93.69,87.86,85.44,82.96,93.60,0.09%,102.50,102.60,,40.27,36.87,36.16,35.71,0.951,0.923,0.921,0.921
70215,degrain,h265 to h264_qsv_v6_q_degrain,14.73,21738070,21738.07,,94.65,89.15,87.26,86.25,94.57,0.08%,229.67,229.85,,41.11,38.70,38.27,38.08,0.959,0.944,0.942,0.942
70216,degrain,h265 to h265_qsv_v6_q_degrain,15.02,9107388,9107.388,,91.82,85.69,83.44,82.15,91.72,0.10%,99.19,99.29,,39.93,37.20,36.70,36.51,0.948,0.925,0.921,0.918
70300,degrain,h264_nvenc,239.87,13557453,13557.453,,96.03,91.07,88.30,84.42,95.97,0.05%,141.18,141.26,,41.62,38.48,37.19,36.44,0.963,0.936,0.935,0.935
70310,degrain,h264_nvenc to h264_degrain,16.17,7602555,7602.555,,92.22,86.04,83.84,82.82,92.13,0.10%,82.44,82.52,,39.66,36.71,35.94,35.39,0.943,0.911,0.908,0.905
70311,degrain,h264_nvenc to h265_degrain,7.68,7686925,7686.925,,93.34,87.29,84.70,83.94,93.25,0.10%,82.36,82.44,,40.04,37.22,36.24,35.49,0.947,0.914,0.910,0.908
70312,degrain,h264_nvenc to h264_nvenc_degrain,22.63,11766106,11766.106,,94.73,89.53,87.07,83.61,94.66,0.07%,124.21,124.29,,40.44,37.58,36.20,35.56,0.951,0.916,0.912,0.908
70313,degrain,h264_nvenc to h265_nvenc_degrain,21.95,9599825,9599.825,,94.54,88.83,86.29,81.46,94.47,0.08%,101.54,101.62,,40.12,36.73,35.62,35.02,0.946,0.907,0.904,0.901
70315,degrain,h264_nvenc to h264_qsv_v6_q_degrain,14.89,17297057,17297.057,,94.83,89.48,87.43,84.67,94.76,0.07%,182.41,182.54,,40.43,37.71,36.69,36.03,0.951,0.920,0.916,0.913
70316,degrain,h264_nvenc to h265_qsv_v6_q_degrain,15.29,7095275,7095.275,,91.89,85.67,83.75,82.89,91.80,0.11%,77.21,77.29,,39.46,36.59,35.73,35.13,0.939,0.903,0.898,0.894
70400,degrain,h265_nvenc,180.91,9608815,9608.815,,95.13,89.71,87.18,83.24,95.06,0.07%,101.00,101.08,,41.13,37.56,36.40,35.64,0.958,0.930,0.928,0.926
70410,degrain,h265_nvenc to h264_degrain,15.94,6869387,6869.387,,91.90,85.76,84.69,83.23,91.80,0.11%,74.75,74.83,,39.45,36.22,35.44,35.00,0.941,0.910,0.907,0.906
70411,degrain,h265_nvenc to h265_degrain,7.61,7111544,7111.544,,92.85,86.84,85.17,83.35,92.75,0.10%,76.59,76.67,,39.78,36.72,35.79,35.22,0.944,0.914,0.911,0.911
70412,degrain,h265_nvenc to h264_nvenc_degrain,20.67,11236393,11236.393,,93.99,88.32,86.37,83.69,93.91,0.09%,119.55,119.65,,39.85,36.70,35.49,34.96,0.943,0.904,0.901,0.900
70413,degrain,h265_nvenc to h265_nvenc_degrain,22.32,9584622,9584.622,,93.86,88.03,85.25,79.14,93.77,0.09%,102.12,102.21,,40.06,36.48,35.39,34.73,0.947,0.913,0.910,0.907
70415,degrain,h265_nvenc to h264_qsv_v6_q_degrain,14.69,15673028,15673.028,,94.12,88.84,87.07,83.56,94.04,0.08%,166.53,166.67,,40.05,37.10,35.98,35.35,0.946,0.916,0.911,0.910
70416,degrain,h265_nvenc to h265_qsv_v6_q_degrain,14.91,6530862,6530.862,,91.50,85.61,83.82,81.52,91.40,0.11%,71.38,71.45,,39.29,36.22,35.29,34.69,0.938,0.902,0.897,0.893
