File Info,,,,,,,VMAF,,,,,,,,,PSNR,,,,SSIM,,,
Index,Source,Output,Encode FPS,Bitrate,Bitrate (kbps),,Mean,1% Low,0.1% Low,Min,Harmonic Mean,Mean Diff,Bitrate/Quality,Bitrate/Quality (H),,Median,1% Low,0.1% Low,Min,Median,1% Low,0.1% Low,Min
30208,2dg,h265 to h264_tune,126.41,935080,935.08,,93.79,89.34,87.87,87.25,93.75,0.04%,9.97,9.97,,46.11,42.64,42.08,41.94,0.983,0.962,0.958,0.956
30209,2dg,h265 to h265_tune,28.02,746774,746.774,,94.31,90.47,90.02,89.73,94.27,0.04%,7.92,7.92,,46.28,42.89,42.34,42.18,0.983,0.963,0.958,0.956
30300,2dg,h264_nvenc,266.24,7127961,7127.961,,96.78,94.56,93.78,93.67,96.77,0.02%,73.65,73.66,,48.14,44.24,43.78,43.56,0.988,0.969,0.966,0.963
30308,2dg,h264_nvenc to h264_tune,128.44,1152280,1152.28,,94.17,90.23,88.66,87.85,94.14,0.04%,12.24,12.24,,46.34,42.83,42.38,42.28,0.984,0.963,0.959,0.957
30309,2dg,h264_nvenc to h265_tune,27.86,725775,725.775,,94.70,91.03,90.60,90.41,94.66,0.04%,7.66,7.67,,46.51,42.99,42.52,42.38,0.983,0.963,0.957,0.956
30400,2dg,h265_nvenc,195.87,7584725,7584.725,,96.46,94.06,93.20,92.94,96.44,0.02%,78.63,78.65,,48.42,44.53,43.99,43.73,0.989,0.972,0.969,0.968
30408,2dg,h265_nvenc to h264_tune,125.46,1046578,1046.578,,93.76,89.56,87.71,86.92,93.72,0.04%,11.16,11.17,,46.34,42.80,42.33,42.29,0.984,0.963,0.958,0.956
30409,2dg,h265_nvenc to h265_tune,27.27,699614,699.614,,94.34,90.58,89.90,89.68,94.31,0.04%,7.42,7.42,,46.53,42.95,42.52,42.38,0.983,0.963,0.957,0.956
30600,2dg,h264_qsv_v6_q,95.13,7033479,7033.479,,96.14,92.73,92.05,91.89,96.11,0.03%,73.16,73.18,,47.98,44.12,43.73,43.55,0.987,0.970,0.967,0.967
30608,2dg,h264_qsv_v6_q to h264_tune,125.62,1204579,1204.579,,94.00,89.62,88.11,87.46,93.96,0.04%,12.81,12.82,,46.34,42.80,42.29,42.15,0.984,0.963,0.958,0.956
30609,2dg,h264_qsv_v6_q to h265_tune,27.46,737738,737.738,,94.48,90.45,89.55,89.28,94.45,0.04%,7.81,7.81,,46.50,42.99,42.50,42.38,0.984,0.963,0.957,0.956
30700,2dg,h265_qsv_v6_q,81.62,2061170,2061.17,,94.97,90.57,89.73,89.41,94.93,0.05%,21.70,21.71,,46.13,42.64,42.17,42.14,0.983,0.962,0.958,0.956
30708,2dg,h265_qsv_v6_q to h264_tune,104.83,1118753,1118.753,,93.61,88.27,86.52,86.43,93.56,0.05%,11.95,11.96,,45.62,42.19,41.67,41.56,0.983,0.962,0.957,0.956
30709,2dg,h265_qsv_v6_q to h265_tune,27.88,817013,817.013,,94.05,89.17,87.88,87.20,94.01,0.05%,8.69,8.69,,45.78,42.44,42.01,41.92,0.982,0.962,0.957,0.955
30800,2dg,h264_tune,116.14,1076377,1076.377,,94.33,89.71,88.49,88.07,94.30,0.04%,11.41,11.41,,46.39,42.87,42.35,42.22,0.984,0.962,0.958,0.956
30801,2dg,h264_tune to h264,180.52,1247773,1247.773,,92.98,87.97,86.04,85.15,92.94,0.04%,13.42,13.43,,45.84,42.30,41.77,41.58,0.982,0.961,0.956,0.955
